Category,Case number,Crime date and time,Report date,Location,Incident Description,Residential occurrence,Disposition
Drug Violations,20181993,10/27/2018 - 1:40am,10/27/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,DRUG PARAPHERNALIA - BUY/POSSESS,Yes,Citation issued
Drug Violations,20181995,10/27/2018 - 8:47pm,10/27/2018,361 HUGUELET DRIVE - DONOVAN HALL,DRUG PARAPHERNALIA-BUY/POSSESS; POSSESSION OF MARIJUANA,Yes,Citation issued
Drug Violations,201823741,10/27/2018 - 5:25am,10/27/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,DRUG PARAPHERNALIA,No,Closed - CSA
Harassment,CSA20181555,10/27/2018 - 8:37pm,10/27/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed - CSA
Assault,CSA20181554,10/27/2018 - 8:00pm,10/27/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Drug Violations,CSA20181548,10/27/2018 - 1:45am,10/27/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,DRUG VIOLATION - MARIJUANA X7; PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X7,Yes,Closed - CSA
Liquor Law Violation,CSA20181545,10/26/2018 - 2:05am,10/27/2018,650 WOODLAND AVENUE - WOODLAND GLEN II,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X3,Yes,Closed - CSA
Liquor Law Violation,CSA20181544,10/27/2018 - 10:00pm,10/27/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X3,Yes,Closed - CSA
Liquor Law Violation,CSA20181543,10/27/2018 - 10:45pm,10/27/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X4,Yes,Closed - CSA
DUI,LPD201800000CZ25076,10/26/2018 - 12:14am,10/26/2018,SOUTH LIMESTONE STREET/SCOTT STREET,DRIVING UNDER INFLUENCE OF ALCOHOL/DRUGS/ECT 1ST OFFENSE,No,Closed - Lexington Police Report
Alcohol Intoxication,201823605,10/26/2018 - 1:00am,10/26/2018,703 SPORTS CENTER DRIVE - WOODLAND GLEN IV,ALCOHOL INTOXICATION,Yes,Closed
Terroristic Threatening,201823613,10/26/2018 - 2:26am,10/26/2018,SOUTH LIMESTONE STREET/PINE STREET,"TERRORISTIC THREATENING, 2ND DEGREE; CARRYING A CONCEALED DEADLY WEAPON; DISORDERLY CONDUCT, 2ND DEGREE; RESISTING ARREST",No,Closed
Theft,20181983,09/27/2018 - 7:27am,10/26/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT OF PROPERTY MISLAID OR DELIVER BY MISTAKE,No,Open
Theft,20181984,10/26/2018 - 2:00pm,10/26/2018,680 ROSE STREET - JACOBS SCIENCE BUILDING,THEFT BY UNLAWFUL TAKING  - FROM BUILDING UNDER $500,No,Open
Drug Violations,20181988,10/26/2018 - 6:10pm,10/26/2018,685 SPORTS CENTER DRIVE - WOODLAND GLEN III,POSSESSION OF MARIJUANA,Yes,Citation issued
Theft,20181986,10/25/2018 - 11:00pm,10/26/2018,"440 HILLTOP AVENUE - THE 90, TACO BELL",THEFT BY UNLAWFUL TAKING - ALL OTHERS UNDER $500,No,Closed
Theft,20181987,10/26/2018 - 4:30pm,10/26/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING - SHOPLIFTING UNDER $500,No,Open
Theft,20181985,08/31/2018 - 12:01am,10/26/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,"THEFT BY UNLAWFUL TAKING - ALL OTHERS $500 OR MORE BUT UNDER $10,000",No,Closed
Terroristic Threatening,CSA20181553,10/26/2018 - 12:29pm,10/26/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,TERRORISTIC THREATENING; ASSAULT X2,No,Closed - CSA
All Other Offenses,CSA20181551,10/26/2018 - 9:25pm,10/26/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,INDECENT EXPOSURE,No,Closed - CSA
Drug Violations,CSA20181550,10/25/2018 - 10:15pm,10/26/2018,740 WOODLAND AVENUE - SMITH HALL,DRUG VIOLATION ALLEGATION - MARIJUANA,Yes,Closed - CSA
Liquor Law Violation,CSA20181546,10/25/2018 - 10:15pm,10/26/2018,703 SPORTS CENTER DRIVE - WOODLAND GLEN IV,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X4,Yes,Closed - CSA
Harassment,LPD201800208050,10/01/2018 - 8:00am,10/26/2018,325 HUGUELET DRIVE - HAGGIN HALL,HARASSMENT-NO PHYSICAL CONTACT,Yes,Closed - Lexington Police Report
Harassing Communications,201823561,10/25/2018 - 12:56pm,10/25/2018,135 EAST MAXWELL STREET  - GOOD SAMARITAN PROFESSIONAL ARTS CENTER,HARASSING COMMUNICATIONS,No,Closed
Drug Violations,20181979,10/25/2018 - 10:00pm,10/25/2018,740 WOODLAND AVENUE - SMITH HALL,POSSESSION OF MARIJUANA; DRUG PARAPHERNALIA-BUY/POSSES,Yes,Citation issued
Alcohol Intoxication,20181980,10/25/2018 - 11:30pm,10/25/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST AND 2ND OFFENSE,Yes,Cleared By Arrest
Theft,201823582,10/08/2018 - 12:00am,10/25/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING,No,Closed
Harassment,CSA20181534,10/25/2018 - 1:15am,10/25/2018,111 AVENUE OF CHAMPIONS - HOLMES HALL,HARASSMENT-NO PHYSICAL CONTACT,Yes,Closed - CSA
Liquor Law Violation,CSA20181536,10/13/2018 - 12:00am,10/25/2018,326 SOUTH MARTIN LUTHER KING BOULEVARD - BLAZER,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X2,Yes,Closed - CSA
Terroristic Threatening,CSA20181535,10/24/2018 - 2:30pm,10/25/2018,361 HUGUELET DRIVE - DONOVAN HALL,TERRORISTIC THREATENING,Yes,Closed - CSA
Motor Vehicle Theft,LPD201800207135,10/25/2018 - 12:00am,10/25/2018,450 PENNSYLVANIA AVENUE,"THEFT BY UNLAWFUL TAKING - AUTO $10,000 OR MORE BUT UNDER $1,000,000",No,Closed - Lexington Police Report
DUI,201823452,10/24/2018 - 12:51am,10/24/2018,ALUMNI DRIVE - NEAR ARBORETUM,"OPERATING MOTOR VEHICLE UNDER THE INFLUENCE OF ALCOHOL/DRUGS/ETC..08 (AGGRAVATED CIRCUMSTANCES); FLEEING OR EVADING POLICE-1ST DEGREE MOTOR VEHICLE; NO OPERATOR'S LICENSE, POSSESSION OF OPEN ALCOHOLIC BEVERAGE CONTAINER IN MOTOR VEHICLE PROHIBITED; RECKLESS DRIVING, WANTON ENDANGERMENT 1ST DEGREE - POLICE OFFICER",No,Cleared By Arrest
DUI,20181970,10/24/2018 - 2:50am,10/24/2018,SOUTH LIMESTONE STREET/EAST MAXWELL STREET,OPERATE MOTOR VEHICLE UNDER INFLUENCE ALCOHOL/DRUGS/ETC..08 (AGGRAVATED CIRCUMSTANCES); FAILURE TO PRODUCE INSURANCE CARD; FAILURE TO WEAR SEAT BELTS,No,Cleared By Arrest
Harassment,CSA20181522,10/24/2018 - 11:03pm,10/24/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Alcohol Intoxication,201823467,10/24/2018 - 2:56am,10/24/2018,SOUTH LIMESTONE STREET/EAST MAXWELL STREET,ALCOHOL INTOXICATION,No,Closed
Terroristic Threatening,20181974,10/24/2018 - 2:00pm,10/24/2018,401 HILLTOP AVENUE - WT YOUNG LIBRARY,THEFT BY UNLAWFUL TAKING,No,Closed
Drug Violations,CSA20181533,10/24/2018 - 7:00pm,10/24/2018,701 SPORTS CENTER DRIVE - BALDWIN HALL,DRUG VIOLATION ALLEGATION - MARIJUANA X2,Yes,Closed - CSA
Harassment,CSA20181532,10/24/2018 - 8:45pm,10/24/2018,703 SPORTS CENTER DRIVE - WOODLAND GLEN IV,HARASSMENT-NO PHYSICAL CONTACT,Yes,Closed - CSA
All Other Offenses,CSA20181531,10/24/2018 - 12:00am,10/24/2018,ON CAMPUS - UNSPECIFIED LOCATION,STALKING,No,Closed - CSA
Sex Offenses,CSA20181530,10/24/2018 - 6:22pm,10/24/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,SEXUAL ABUSE,No,Closed - CSA
Harassment,CSA20181529,10/24/2018 - 8:46am,10/24/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Theft,20181982,10/24/2018 - 7:00pm,10/24/2018,120 PATTERSON DRIVE - BICYCLE RACK ON NORTH SIDE OF PATTERSON OFFICE TOWER,THEFT BY UNLAWFUL TAKING - BICYCLES UNDER $500,No,Closed
Alcohol Intoxication,LPD201800000N801984,10/24/2018 - 2:59am,10/24/2018,287 SOUTH LIMESTONE STREET - SIDEWALK AREA,ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST AND 2ND OFFENSE,No,Closed - Lexington Police Report
Assault,20181958,10/23/2018 - 1:00am,10/23/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,"ASSAULT, 4TH DEGREE MINOR INJURY",No,Closed
Criminal Trespass,20181960,10/23/2018 - 3:08am,10/23/2018,721 PRESS AVENUE - BEHIND PARKING STRUCTURE #6 & UNDERNEATH VIRGINIA STREET BRIDGE,CRIMINAL TRESPASSING 3RD DEGREE,No,Cleared By Arrest
Harassment,CSA20181515,10/23/2018 - 5:48am,10/23/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Theft,20181963,10/23/2018 - 1:30pm,10/23/2018,160 AVENUE OF CHAMPIONS - STUDENT CENTER,THEFT - SHOPLIFTING UNDER $500,No,Closed
Liquor Law Violation,CSA20181527,10/20/2018 - 12:00am,10/23/2018,1160 UNIVERSITY DRIVE - UNIVERSITY FLATS,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X15,Yes,Closed - CSA
Drug Violations,CSA20181526,10/21/2018 - 11:30pm,10/23/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,DRUG VIOLATION ALLEGATION - MARIJUANA X2,Yes,Closed - CSA
Assault,CSA20181525,10/23/2018 - 9:15pm,10/23/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Theft,CSA20181524,10/23/2018 - 3:52pm,10/23/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,THEFT BY UNLAWFUL TAKING,No,Closed - CSA
Alcohol Intoxication,CSA20181523,10/23/2018 - 2:00am,10/23/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,ALCOHOL INTOXICATION; INDECENT EXPOSURE,Yes,Closed - CSA
Assault,CSA20181485,10/22/2018 - 12:39pm,10/22/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20181482,10/22/2018 - 1:56am,10/22/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT; INDECENT EXPOSURE,No,Closed - CSA
Burglary,20181953,10/19/2018 - 5:00pm,10/22/2018,740 SOUTH LIMESTONE STREET - INFECTIOUS DISEASE CLINIC,"BURGLARY, 3RD DEGREE",No,Closed
Harassment,CSA20181516,10/22/2018 - 3:09pm,10/22/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20181514,10/22/2018 - 3:09pm,10/22/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Drug Violations,CSA20181511,10/22/2018 - 8:45am,10/22/2018,340 HILLTOP AVENUE - JOHNSON HALL,DRUG VIOLATION ALLEGATION - MARIJUANA,Yes,Closed - CSA
Drug Violations,CSA20181510,10/22/2018 - 8:15pm,10/22/2018,111 AVENUE OF CHAMPIONS - HOLMES HALL,DRUG VIOLATION ALLEGATION - MARIJUANA X2,Yes,Closed - CSA
Drug Violations,CSA20181507,10/18/2018 - 11:00pm,10/22/2018,325 HUGUELET DRIVE - HAGGIN HALL,DRUG VIOLATION ALLEGATION - UNSPECIFIED DRUG; HARASSMENT-NO PHYSICAL CONTACT,Yes,Closed - CSA
Liquor Law Violation,CSA20181502,10/22/2018 - 6:30pm,10/22/2018,111 AVENUE OF CHAMPIONS - HOLMES HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X3,Yes,Closed - CSA
Liquor Law Violation,CSA20181499,10/22/2018 - 6:30pm,10/22/2018,111 AVENUE OF CHAMPIONS - HOLMES HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL,Yes,Closed - CSA
Theft,CSA20181496,10/22/2018 - 12:00am,10/22/2018,111 AVENUE OF CHAMPIONS - HOLMES HALL,THEFT BY UNLAWFUL TAKING,Yes,Closed - CSA
Theft,20181962,10/22/2018 - 7:23pm,10/22/2018,160 AVENUE OF CHAMPIONS - STUDENT CENTER,"THEFT BY UNLAWFUL TAKING  - ALL OTHERS $500 OR MORE BUT UNDER $10,000",No,Open
Drug Violations,201823290,10/21/2018 - 9:16pm,10/21/2018,1160 UNIVERSITY DRIVE - UNIVERSITY DRIVE,DRUG VIOLATION ALLEGATION - MARIJUANA,No,Closed
Drug Violations,20181951,10/21/2018 - 11:00pm,10/21/2018,"344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL, DUMPSTER AREA",POSSESSION OF MARIJUANA,No,Closed
DUI,20181950,10/21/2018 - 6:30pm,10/21/2018,SOUTH LIMESTONE STREET/AVENUE OF CHAMPIONS,OPERATE MOTOR VEHICLE UNDER INFLUENCE ALCOHOL/DRUGS/ETC..08 AGGRAVATED CIRCUMSTANCES 1ST OFFENSE,No,Cleared By Arrest
DUI,20181946,10/21/2018 - 3:59am,10/21/2018,WOODLAND AVENUE PRIOR TO ROSE LANE,OPERATE NON-MOTOR VEHICLE UNDER INFLUENCE OF INTOXICANTS,No,Cleared By Arrest
Assault,20181948,10/21/2018 - 5:00pm,10/21/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,"ASSAULT, 4TH DEGREE NO VISIBLE INJURY",No,Closed
Theft,20181949,10/14/2018 - 12:00pm,10/21/2018,"1608 UNIVERSITY COURT - SHAWNEE TOWN, OUTSIDE",THEFT BY UNLAWFUL TAKING - ALL OTHERS UNDER $500,No,Closed
Alcohol Intoxication,20181945,10/21/2018 - 3:07am,10/21/2018,SPORTS CENTER DRIVE - PRACTICE FIELD PARKING LOT,"ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST AND 2ND OFFENSE; DISORDERLY CONDUCT, 2ND DEGREE",No,Cleared By Arrest
Harassment,CSA20181486,10/21/2018 - 8:20pm,10/21/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Assault,CSA20181493,10/21/2018 - 3:32am,10/21/2018,SOUTH LIMESTONE STREET/WEST MAXWELL STREET,ASSAULT (DOMESTIC VIOLENCE),No,Closed - CSA
Drug Violations,CSA20181509,10/21/2018 - 9:15pm,10/21/2018,1160 UNIVERSITY DRIVE - UNIVERSITY FLATS,DRUG VIOLATION ALLEGATION - MARIJUANA,Yes,Closed - CSA
Drug Violations,CSA20181508,10/21/2018 - 11:45pm,10/21/2018,1160 UNIVERSITY DRIVE - UNIVERSITY FLATS,DRUG VIOLATION ALLEGATION - MARIJUANA X2,Yes,Closed - CSA
Harassing Communications,LPD201800207462,10/21/2018 - 10:23am,10/21/2018,111 AVENUE OF CHAMPIONS - HOLMES HALL,HARASSING COMMUNICATIONS,Yes,Closed - Lexington Police Report
Assault,20181934,10/20/2018 - 2:00am,10/20/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,"ASSAULT, 4TH DEGREE MINOR INJURY",No,Cleared By Arrest
Assault,CSA20181487,10/20/2018 - 7:58pm,10/20/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20181483,10/20/2018 - 7:01pm,10/20/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Alcohol Intoxication,20181943,10/20/2018 - 7:41pm,10/20/2018,1540 UNIVERSITY DRIVE - KROGER FIELD,ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST AND 2ND OFFENSE,No,Cleared By Arrest
Liquor Law Violation,20181936,10/20/2018 - 4:15pm,10/20/2018,113 CRESCENT AVENUE,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL,No,Closed
Liquor Law Violation,20181938,10/20/2018 - 12:00am,10/20/2018,ELIZABETH AND FLORAL PARK,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL,No,Closed
Liquor Law Violation,20181939,10/20/2018 - 5:20pm,10/20/2018,200 TOTAL STREET,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL,No,Closed
Liquor Law Violation,20181940,10/20/2018 - 6:15pm,10/20/2018,223 FOREST PARK,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL,No,Closed
Alcohol Intoxication,20181941,10/20/2018 - 7:39pm,10/20/2018,1540 UNIVERSITY DRIVE - KROGER FIELD,ALCOHOL INTOXICATION,No,Closed
Alcohol Intoxication,20181942,10/20/2018 - 7:53pm,10/20/2018,1540 UNIVERSITY DRIVE - KROGER FIELD,ALCOHOL INTOXICATION,No,Closed
Alcohol Intoxication,20181944,10/20/2018 - 8:35pm,10/20/2018,1540 UNIVERSITY DRIVE - KROGER FIELD,ALCOHOL INTOXICATION; DISORDERLY CONDUCT,No,Closed
Criminal Mischief,20181952,10/20/2018 - 10:46pm,10/20/2018,409 SOUTH LIMESTONE STREET - PARKING STRUCTURE #5,CRIMINAL MISCHIEF 2ND DEGREE,No,Closed
Drug Violations,CSA20181505,10/20/2018 - 9:00pm,10/20/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,DRUG VIOLATION ALLEGATION - MARIJUANA,Yes,Closed - CSA
